-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 12:08:33] | DIM| |0| |43| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:08:44] | DIM| |0| |44| |     0| csr_instr_asm                |      | |    6502| |  0x611c|
[2022-08-30 12:08:48] | DIM| |0| |44| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:08:53] | DIM| |0| |44| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:08:57] | DIM| |0| |44| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:09:02] | DIM| |0| |44| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:09:06] | DIM| |0| |44| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:09:16] | DIM| |0| |45| |     0| csr_instr_asm                |      | |    6494| |  0x611c|
[2022-08-30 12:09:20] | DIM| |0| |45| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:09:25] | DIM| |0| |45| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:09:29] | DIM| |0| |45| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:09:33] | DIM| |0| |45| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:09:37] | DIM| |0| |45| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:09:48] | DIM| |0| |46| |     0| csr_instr_asm                |      | |    6486| |  0x611c|
[2022-08-30 12:09:51] | DIM| |0| |46| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:09:57] | DIM| |0| |46| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:10:01] | DIM| |0| |46| |     0| fibonacci                    |      | |   93824| |   0x3e4|
